https://en.wikipedia.org/wiki/List_of_railway_stations_in_India
Banbasa 	BNSA 			
Banda Junction 	BNDA 	Uttar Pradesh 		
Bandakpur 	BNU 			
Bandanwara 	BDW 	Rajasthan 		
Bandarkhal 	BXK 	Assam 	NFR/Northeast Frontier 	104 m 	[26]
Bandel Junction 	BDC 	West Bengal 	ER/Eastrn Railway 	
Bandh Bareta 	BR 			
Bandikui Junction 	BKI 	Rajasthan 		
Bandra 	BA 	Maharashtra 	WR/Western/Harbour (CR)
Bandra Terminus 	BDTS 	Maharashtra 	WR/Western 	
Bangalore Cantonment 	BNC 	Karnataka 		
Bangalore City Junction 	SBC 	Karnataka 		
Bangalore East 	BNCE 	Karnataka 		
Bangarapet 	BWT 	Karnataka 		
Bangarapet 	BWY 	Karnataka 		
Bangrod 	BOD 			
Bani 	BANI 			
Baniya Sanda DH 	BSDA 			
Bankata 	BTK 			
Bankura 	BQA 	West Bengal 	ER/Eastrn Railway 	
Bankura 	BQK 	West Bengal 	ER/Eastrn Railway 	
Banmankhi Junction 	BNKI 	Bihar 		
Banmor 	BAO 			
Bansdih Road 	BCD 			
Banshlai Bridge 	BSBR 			
Bansi Paharpur 	BIQ 			
Bansipur 	BSQP 			
Banasthali Niwai 	BNLW 	Rajasthan 		
Banta Raghunathgarh 	BGG 			
Bantawala 	BNTL 	Karnataka 		
Banthra 	BTRA 			
Banwali 	BWC 			
Baori Thikria 	BOTI 			
Bapatla 	BPP 	Andhra Pradesh 		
Bar 	BAR 			
Bara Jamda 	BJMD 	Jharkhand 		
Barabanki Junction 	BBK 	Uttar Pradesh 	
Barabhum 	BBM 	West Bengal 	ER/Eastrn Railway 	
Barbil 	BBN 	Odisha 		
Baradwar 	BUA 			
Baragaon 	BNM 			
Barahu 	BRHU 	Assam 	NFR/Northeast Frontier 	58 m 	[27]
Baraigram Junction 	BRGM 	Assam 	NFR/Northeast Frontier 	24 m 	[28]
Barakar 	BRR 	West Bengal 	ER/Eastrn Railway 	
Baral 	BARL 			
Baramati 	BRMT 	Maharashtra 		
Baran 	BAZ 	Rajasthan 		
Baranagar 	BARN 	West Bengal 	ER/Eastrn Railway 	
Barara 	RAA 	Haryana 		
Barasat Junction 	BT 	West Bengal 	ER/Eastrn Railway 	
Barauni Junction 	BJU 	Bihar 		
Barbatpur 	BBTR 			
Barchi Road 	BCRD 			
Barddhaman Junction 	BWN 	West Bengal 	ER/Eastrn Railway 	
Bardoli 	BIY 	Gujarat 		
Bareilly 	BE 	Uttar Pradesh 		
Barelly 	BRY 	Madhya Pradesh 		
Barejadi 	BJD 			
Bareta 	BRZ 			
Bareth 	BET 			
Bargarh Road 	BRGA 	Odisha 		
Bargawan 	BRGW 			
Barh 	BARH 	Bihar 		
Barhan 	BRN 			
Barharwa Junction 	BHW 	Jharkhand 	ECR/East Central Railway 	
Barhiya 	BRYA 	Bihar 		
Barhni 	BNY 	Uttar Pradesh 		
Bari Brahman 	BBMN 	Jammu & Kashmir 		
Bariarpur 	BUP 	Bihar 		
Barkakana 	BRKA 	Jharkhand 		
Barkur 	BKJ 	Karnataka 	KRCL 	
Barlai 	BLAX 			
Barmer 	BME 	Rajasthan 		
Barnagar 	BNG 	West Bengal 	ER/Eastrn Railway 	
Barnala 	BNN 	Punjab 		
Barog 	BOF 	Himachal Pradesh 		
Barpali 	BRPL 	Odisha 		
Barpeta Road 	BPRD 	Assam 	NFR/Northeast Frontier 	51 m 	[29]
Barrackpore 	BP 	West Bengal 	ER/Eastrn Railway 	
Barsathi 	BSY 			
Barsi Takli 	BSQ 	Maharashtra 		
Barsi Town 	BTW 	Maharashtra 		
Barsoi Junction 	BOE 	Bihar 		
Barsola 	BZO 			
Barsuan 	BXF 	Odisha 		
Baruva 	BAV 			
Barwa Sagar 	BWR 			
Barwadih Junction 	BRWD 	Jharkhand 		
Barwaha 	BWW 			
Barya Ram 	BYHA 			
Basai 	BZY 			
Basar 	BSX 	Telangana 		
Basbari 	BSI 	Assam 	NFR/Northeast Frontier 	47 m 	[30]
Basharatganj 	BTG 			
Basi Kiratpur 	BSKR 			
Basin Bridge 	BBQ 	Tamil Nadu 	SR/Southern 	7 m 	
Basmat 	BMF 	Maharashtra 		
Basni 	BANE 	Rajasthan 		
Bassi Pathana 	BSPN 	Punjab 		
Basta 	BTS 	Odisha 	SER/South Eastern Railway 	
Basti 	BST 	Uttar Pradesh 		
Basugaon 	BSGN 	Assam 	NFR/Northeast Frontier 	53 m 	[31]
Baswa 	BU 			
Batadrowa Road 	BTDR 	Assam 	NFR/Northeast Frontier 	69 m 	[32]
Batala Junction 	BAT 	Punjab 		
Bauria Junction 	BVA 	West Bengal 	SER/South Eastrn Railway 	
Bavla 	VLA 			
Bawal 	BWL 	Haryana 		
Bawani Khera 	BWK 	Haryana 		
Bayana Junction 	BXN 	Rajasthan 		
Baytu 	BUT 			
Bazida Jatan 	BZJT 	Haryana 		
Bazpur 	BPZ 	Uttarakhand 		
Bazurghat 	BZGT 	Assam 	NFR/Northeast Frontier 	37 m 	[33]
Beas 	BEAS 	Punjab 		
Beawar 	BER 	Rajasthan 		
Begunkodor 		West BengalER/Eastrn Railway 	
Bedetti 	BVV 			
Begampet 	BMT 	Telangana 		
Begu Sarai 	BGS 	Bihar 		
Behtagokul 	BEG 			
Behula 		West Bengal 	ER/Eastrn Railway 	
Bejnal 	BJN 			
Bela Tal 	BTX 	Uttar Pradesh 		
Belampalli 	BPA 	Telangana 		
Belapur 	BAP 	Maharashtra 		
Belgahna 	BIG 			
Belgharia 	BEL 	WEST BENGAL 		
Belgaum 	BGM 	Karnataka 		
Belha 	BYL 			
Bellary Junction 	BAY 	Karnataka 		
Bellary Cantonment 	BYC 	Karnataka 		
Belpahar 	BPH 	Odisha 		
Belrayan 	BXM 			
Belsiri 	BLRE 			
Belthara Road 	BLTR 	Uttar Pradesh 		
Belur 	BEQ 			
Belvandi 	BWD 			
Beohari 	BEHR 	Madhya Pradesh 		
Berchha 	BCH 	Madhya Pradesh 		
Berhampore Court 	BPC 	West Bengal 	ER/Eastern Railway 	
Brahmapur 	BAM 	Odisha 		
Besroli 	BSRL 			
Betavad 	BEW 			
Bettiah 	BTH 	Bihar 		
Betul 	BZU 	Madhya Pradesh 		
Bhabhar 	BAH 			
Bhabua Road 	BBU 	Bihar 	ECR/East Central Railway 	
Bhachau 	BCO 	Gujarat 		
Bhachau BG 	BCOB 	Gujarat 		
Bhadan 	BDN 	Uttar Pradesh 	NCR/North Central Railway 	
Bhadaura 	BWH 			
Bhadbhadaghat 	BVB 			
Bhadli 	BDI 			
Bhadohi 	BOY 	Uttar Pradesh 		
Bhadra 	BHD 	Rajasthan 		
Bhadrachalam Road 	BDCR 	Telangana 		
Bhadrak 	BHC 	Odisha 		
Bhadran 		Gujarat 		
Bhadravati 	BDVT 	Karnataka 		
Bhadroli 	BBY 			
Bhaga Junction 	VAA 			
Bhagalpur 	BGP 	Bihar 		
Bhagat Ki Kothi 	BGKT 	Rajasthan 		
Bhagega 	BAGA 			
Bhagtanwala 	BGTN 			
Bhagwanpur 	BNR 			
Bhagwanpura 	BGPR 			
Bhaini Khurd 	BZK 	Haryana 		
Bhairongarh 	BOG 			
Bhakti Nagar 	BKNG 	Gujarat 	129.63
